t x0 y0 x1 y1 x2 y2 vx0 vy0 vx1 vy1 vx2 vy2 
0.68 0.0540979 0.0056709 1 0.328658 1.9459 0.0056709 0.146283 0.0227237 -3.4972e-17 0.454553 -0.146283 0.0227237 
0.69 0.0555768 0.00590363 1 0.333193 1.94442 0.00590363 0.147891 0.0232729 -3.44169e-17 0.453454 -0.147891 0.0232729 
0.7 0.0570716 0.00614187 1 0.337716 1.94293 0.00614187 0.149482 0.0238243 -3.41394e-17 0.452351 -0.149482 0.0238243 
0.71 0.0585822 0.00638565 1 0.342229 1.94142 0.00638565 0.151057 0.024378 -3.35842e-17 0.451244 -0.151057 0.024378 
0.72 0.0601083 0.00663499 1 0.34673 1.93989 0.00663499 0.152614 0.0249337 -2.94209e-17 0.450133 -0.152614 0.0249337 
0.73 0.0616499 0.0068899 1 0.35122 1.93835 0.0068899 0.154155 0.0254913 -2.85882e-17 0.449017 -0.154155 0.0254913 
0.74 0.0632067 0.00715041 1 0.355699 1.93679 0.00715041 0.15568 0.0260506 -2.44249e-17 0.447899 -0.15568 0.0260506 
0.75 0.0647786 0.00741652 1 0.360167 1.93522 0.00741652 0.157188 0.0266117 -2.38698e-17 0.446777 -0.157188 0.0266117 
0.76 0.0663654 0.00768827 1 0.364623 1.93363 0.00768827 0.158679 0.0271742 -2.33147e-17 0.445652 -0.158679 0.0271742 
0.77 0.0679669 0.00796565 1 0.369069 1.93203 0.00796565 0.160154 0.0277382 -2.27596e-17 0.444524 -0.160154 0.0277382 
0.78 0.069583 0.00824868 1 0.373503 1.93042 0.00824868 0.161613 0.0283035 -2.22045e-17 0.443393 -0.161613 0.0283035 
0.79 0.0712136 0.00853738 1 0.377925 1.92879 0.00853738 0.163056 0.02887 -2.16493e-17 0.44226 -0.163056 0.02887 
0.8 0.0728584 0.00883176 1 0.382336 1.92714 0.00883176 0.164484 0.0294376 -1.41553e-17 0.441125 -0.164484 0.0294376 
0.81 0.0745174 0.00913182 1 0.386736 1.92548 0.00913182 0.165895 0.0300062 -9.99201e-18 0.439988 -0.165895 0.0300062 
0.82 0.0761903 0.00943758 1 0.391125 1.92381 0.00943758 0.167291 0.0305757 -6.38378e-18 0.438849 -0.167291 0.0305757 
0.83 0.077877 0.00974904 1 0.395502 1.92212 0.00974904 0.168671 0.0311459 -6.38378e-18 0.437708 -0.168671 0.0311459 
0.84 0.0795774 0.0100662 1 0.399868 1.92042 0.0100662 0.170036 0.0317168 -6.66134e-18 0.436566 -0.170036 0.0317168 
0.85 0.0812912 0.0103891 1 0.404222 1.91871 0.0103891 0.171385 0.0322883 -6.38378e-18 0.435423 -0.171385 0.0322883 
0.86 0.0830184 0.0107177 1 0.408565 1.91698 0.0107177 0.172719 0.0328603 -9.71445e-18 0.434279 -0.172719 0.0328603 
0.87 0.0847588 0.011052 1 0.412896 1.91524 0.011052 0.174039 0.0334328 -1.63758e-17 0.433134 -0.174039 0.0334328 
0.88 0.0865122 0.0113921 1 0.417216 1.91349 0.0113921 0.175343 0.0340055 -1.91513e-17 0.431989 -0.175343 0.0340055 
0.89 0.0882785 0.0117379 1 0.421524 1.91172 0.0117379 0.176633 0.0345785 -2.58127e-17 0.430843 -0.176633 0.0345785 
